dataset_size,train_size,test_size,spam_train_count,spam_test_count,model,vectorizer,accuracy,precision,recall,f1
1500,1200,300,161,40,MultinomialNB,count,0.99,0.9743589743589743,0.95,0.9620253164556962
5572,4457,1115,598,149,MultinomialNB,count,0.9847533632286996,0.9647887323943662,0.9194630872483222,0.9415807560137457
1500,1200,300,161,40,LinearSVC,tfidf,0.98,0.8863636363636364,0.975,0.9285714285714286
5572,4457,1115,598,149,LinearSVC,tfidf,0.9802690582959641,0.9096774193548387,0.9463087248322147,0.9276315789473685
3000,2400,600,322,80,MultinomialNB,count,0.98,0.9594594594594594,0.8875,0.922077922077922
3000,2400,600,322,80,LinearSVC,tfidf,0.9666666666666667,0.8658536585365854,0.8875,0.8765432098765432
5572,4457,1115,598,149,LogisticRegression,tfidf,0.9623318385650225,0.8057142857142857,0.9463087248322147,0.8703703703703703
5572,4457,1115,598,149,MultinomialNB,tfidf,0.9650224215246637,1.0,0.738255033557047,0.8494208494208494
3000,2400,600,322,80,LogisticRegression,tfidf,0.955,0.7789473684210526,0.925,0.8457142857142858
1500,1200,300,161,40,LogisticRegression,tfidf,0.9533333333333334,0.7708333333333334,0.925,0.8409090909090909
3000,2400,600,322,80,MultinomialNB,tfidf,0.9533333333333334,1.0,0.65,0.7878787878787878
500,400,100,54,13,MultinomialNB,count,0.94,0.8888888888888888,0.6153846153846154,0.7272727272727273
1500,1200,300,161,40,MultinomialNB,tfidf,0.9333333333333333,1.0,0.5,0.6666666666666666
500,400,100,54,13,LinearSVC,tfidf,0.88,0.5294117647058824,0.6923076923076923,0.6
500,400,100,54,13,LogisticRegression,tfidf,0.87,0.5,0.6923076923076923,0.5806451612903226
500,400,100,54,13,MultinomialNB,tfidf,0.88,1.0,0.07692307692307693,0.14285714285714285
